Id,comment
HeeHeePlaylist,그동안 재밌게 봤어요~ 아크를 알게된건 다른 경로로 알게됐지만 팡님 혼자서 알파먹기 영상 보고 시작하게 돼서 아직까지도 재밌게 하고 있네요. 앞으로도 화이팅입니다!
pwater,아크를 팡님보고 시작했었는데 그동안 재미있었습니다~
아크,다음화(힝 속았지~)라고 믿고 싶네요 그동안 재밌는 아크 영상올려주셔서 감사합니다
누구지호,1화때부터 쭉 봐오던 사람입니다.... 힘내시고 힘 주셔서 감사합니다
말똥,형님 이때까지 저희를 위해 아크 영상 재밌게 찍어주신거 감사합니다.아크는 당분간 안올리신다하니 롤 영상도 찍어주세요
김현수,솔플 끝네고 공식으로 다시 돌아와 줬으면...
SuhoJang,고생많으셨습니다 너무 재미있었어요!! 뭐든 재미있을거같아서 다음 컨텐츠도 기대가 됩니다!!
L.S.H,팡님 그동안 너무 재밌게 봤었습니다 ㅠㅜ예전부터 봤었지만 진짜 재밌었어요!!!
?,진짜 보급로밍에서 슈퍼세이브가 레전드였음 ㅋㅋㅋㅋㅋ
rmfjgek,아....추억이였다 1화부터 지금까지 알차게 달려왔고 수고하셨습니다그러니 휴식하시고 다음주부터 다시 유튜브활동하셔야죠
최성진,단언컨데 제가 봐온 아크영상중에 최고였습니다^^감사합니다.
하얀랑이,뭘하든 항상 응원해요!! 진짜 수고하셨어요!
ᄋᄃᄀ,재밌었습니다!! 질리지않네요 팡님영상은
덤앤더머,마지막 엔딩까지...! 고생 많으셨습니다!!
판다,팡님 앞으로도 재미있는 아크영상 많이 만들어 주세요. 팡님 보고 아크 샀습니다ㅋㅋㅋㅋ
빛휘원,팡님 아크영상은 너무 재밌어서 끝까지 봤네용ㅎㅎ 푹쉬시고 꼭 돌아오세용!
IgseoJang,형님 아크랑 비슷하긴한데 다음 컨텐츠로 아틀라스 어떠십니까 팡님이 아틀라스하는 모습이 보고싶습니다~~
Ten,진짜 고생 많으셨어요...!제가 항상 애타게 기다리는 유일한 분...!편집도 컨셉도 제가 봐온 분중에 최고였습니다.
빠꾸없는새기그래서곧깜빵갈새끼,형 댓글은 안남겻지만 자기전이나 심심할때정말 재밋게 봤어요진짜 재밋었어요 또 아크해도 볼꺼고다른게임하더라도 꼭 챙겨볼께요또봐요!.!
하하하하하하,저도 팡님보고 아크시작했는데 팡님의 아크 마지막영상이라니 아쉽네요
甲甲,그동안 너무 잼난영상때문에 즐거웠고 고마웠습니다ㅎ바보팡화이팅ㅋㅋ
bluegreen,팡님 그 동안 고생 많았어요 덕분에 영상 즐겁게 잘 봤습니다 아크가 혼자서 이렇게 꾸준히하기 정말 힘든 게임인데... 이제 아틀라스 해보는건 어때요?
주민찬,팡님 지금까지 좋은영상 보여주셔서 감사하고  건강하고 행복하세요 ❤ 사랑합니다 건강하세용
mmdark,팡님 사랑하고 종경합니다  고마웠고 감사합니더
신기신,팡이진짜 웃겨 기엽다
Ongja,고생했다 ㅋㅋ 그동안 잼있거봤네 좀쉬다가 잼있는게임 많이 올리주삼 ㅋ
과로사,수고많았습니다 형님 예전에 제가 아크 재밌냐고 물어봤었는데 형님이 보는게 젤 재밌다고 하셨죠 저 지금 아창의 삶을 사는중입니다 중딩인데 공부에 집중을 못하겠어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 암튼 접지만 마셨으면 좋겠어요
이강혁,수고하셨습니다 영상보니 아크에서 고임물한테 3일에 한번씩 털린게 치유가 되네요 감사합니다~
새로쒸,형님 고생하셨고 쉬다오십쇼~
조만희,팡님재미있는영상올려주샤서감사함니다ㅠㅠ
최은애,마지막에진짜추억...
김현재,그동안 참 재밌게 봤는데 다들 접으시는군요! 쉬다 다시 잼있영상 가지고 돌아오세요!!
ㅋㅋㅋ,초반에 숨어살기좋은집터같은거 모아놓은영상하나 만들어주실수있나요.. 숨어살곳이없어서
인미호,감사합니다 이렇게 재미있는 영상을 올려주셔서  아크에 재미를 주셔서 감사합니다
박강민,팡님 잘~ 쉬다 오십쇼 ~
OWOv2ツ,Freak Show !  팡님 수고 많으셨습니다 ㅎㅎ 예전부터 봤는데 아크 마지막이라니 ㅠㅅㅠ 너무 아쉽습니다  아크는 접더라도 유튜브는 접지말아주세요 편집이 재밌습니다 ㅋㅋㅋ
ĶĐý,옛날 아일랜드때 무적요새랑 기가 잡을때 ㅈㄴ재밌었는데 ㅋㅋ
백선생,오늘도 이새벽에 고마워요~
퐝찐이,팡 너무 안봐서 팡마렵다...
얼음강아지,재밌었습니다~:!
우주,진짜 너무 수고많으셨어요♡
ᄋᄉᄋᄋᄉᄋ,재밌게잘봤습니다~
대빗TV,"""그만큼 쉬고 싶으시다는 거지"""
요한잉,아크 영상중에 젤 재밌었다 ㅋㅋ
알오[RO],지금까지 아크해오시느라 수고 많으셧어요..!
LinTek,형 아크 고생햇으 나중에 공식영상 다시하자 ㅋㅋㅋㅋ
응아니야,기말 2시간전 보고갑니다..ㅠㅠ
박재민,퍼러렁씨 다른겜 해도 좋으니까 영상만 올려주십셔
군침이싹도노,형 아니면 아틀라스라는 해적 겜 있는데 그거 해볼레?  아크랑 비슷한겜인데 아크랑은 다르게 해적?  게임 이거든 해보는걸 추천할께 푹쉬어😍
뭐해진짜,아형 전제와 3주째인데 이제 돌아와야하는거 아냐..?ㅠㅠㅠ제발 빨리 돌아와줘
사람,눈물이 안날수없다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
0608,쓰까무까랑간식집에 대포날리때 얼마나 조마조마했는데 다 털고 나왔을때 진짜 사이다였는데 독식성 학식성도 이제는 추억쓰..
히든미션,캬 정주행완료~ 일주일넘게걸렸다능
죠스바ARK,학교 가기 전에 보고가야지
『N』『I』『B』『L』『E』,횽님 아크 .....계속해주세요ㅠㅠ
dlfmatjd,우리형 혼자서 고샹많이 했어 이제 좀 쉬어
