Id,comment
시미켄TV,쿨앤브레이브(CBR)스프레이 정말 좋은 제품입니다! 자세한 내용을 링크에서 확인해 주세요! 냄새와 정자량 두마리 토끼 잡즈아!✍🏽 CBR 바로가기 ::: https://bit.ly/3j920WG올챙이 여러분들이 아이짱에게 해 주신 질문 Q&A는 다음 영상을 기대 해 주세요!✍🏽 일타강사 섹스테크닉 인강 ::: https://bit.ly/2YzxrhP
권혁Hulk'sTV,와 상수성님인트로 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
명성욱,편집자가 데드풀1 번역가 황석희 (갓석희) 제자 아닐까 의심들 정도로 너무 재밌게 편집되었고 유행도 아주 빠르게 따라가고 있고 무엇보다 컨텐츠가 19금인데 스탠드 업 코메디 같이 아주 재밌다. 닥추를 안 누를 수가 없다. 코로나 걸리지말고 계속 영상 부탁드립니다. 익현이형 사랑해요
minhyukchung,성교육이 이렇게 진실되야지 몰랐던것도 배우고항상 건강하시길
블랙핑크,사야마 아이 누나... 지금도 대박이야 ...0:36 자막 진짜 ㅋㅋㅋㅋㅋㅋㅋ1:05
JaeWonLEE,1:55 아 그래서 사우나가면 다들 이러는게 이유가 있었구나! 오늘도 하나 배우고갑니다!!
마징가,이분 전설이지...그냥 사랑합니다...
호달지,크 사야마 아이 섭외 미쳤다ㄷㄷ
각선미TV,우리 상수 형의 파이널 꿈을 이룰 날이 머지 않았네여.. 이 기쁜 소식을 상수 형님께 빨리 연락드려서 알려드려야 겠네요
하윤,형이 한국어로 한국에서 방송해줘서 진심으로 고맙게 생각해
간호왕,이틀만에 조회수 100만 달성 ㅎㄷㄷ 그만큼 사야마 아이를 좋아한다는 뜻 아닐까요?? 다음화에도 나오길 기다려봅니다!!
moochimO2,익현이형 랩도 잘하고 못허는게 없어 ㅠㅠㅠ
카이저소제,와.. ai sayama 스펠링 외울정도로 진짜 내 최애 배우인데..익현이형 너무 부럽다 진짜ㅜㅜ
당디두,와 배우중에 이렇게 이쁜 배우가 있었다니;;;
위궤양쇼맨,와 진짜 좋아하는 누나인데 섭외력 지리네
알라흐만,사야마 아이님 찐 이쁘네요. 명랑쾌활함도 좋습니다. 익현 형님 섭외력 짱!
DdDd,이 형의 영상도 레전드지만 자막도 레전드얔ㅋㅋ 사야마 아이 누나 인사부터 터지넼ㅋㅋㅋㅋㅋㅋㅋㅋ 형 고마워 형이 최고야 ㅋㅋ
S.H.Moon,와 진짜 레전드 사야마아잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
CHUNGPHILCHO,한글 자막 보면서 웃은 적은 많아도내 생전 영문 자막 보면서 터질 날이 올 줄이야...추가 : 중간중간에 촬영감독님의 불순한 의도 또는 사심이 엿보여서 참 좋았습니다. 감사합니다.
AttentionR,시미켄 한국  유행 트렌드 잘아네...인트로 정상수 페러디 지리네
