Id,comment
정지훈,우리가 매일 먹는 고기도 어떤삶을 살았는지 속사정을 모르고 먹기에 편하게 먹는듯
호이차차,내가 그의 이름을 부르기 전까지 그는 하나의 몸짓에 지나지 않았다. 내가 그의 이름을 불렀을때 그는 나에게로 와서 꽃이 되었다.. 동물도 다르지 않다고 봅니다
erlim,마지막에 족발 나올때 빵터짐ㅋㅋㅋ푸른거탑에서 김호창상병이 맡아서키운 돼지 부대회식으로 구워먹는장면 보신분들 많으실텐데....마지막엔 김호창상병도 그 고기를 먹었음.
카노팬,생명의 소중함을 일깨워주는 영상으로서는 성공한듯...
Cms,이래서 감성으로 움직이면 안됨마음을 어디에 초점을 두느냐에따라 무엇이 최고의 가치관이 되는지 쉽게 뒤바뀌어 버림사회라는건 철저하게 현실적으로 논리적으로 움직였을때가 모두에게 가장 합리적이란걸 깨달음
정평모,인간은 참 신기한 거 같음 누구에게 포커스를 맞추냐에 따라 입장이 완전히 달라지니까...
띠요오옹,돼지판 약속의 네버랜드ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
hollikan,기획성은 완벽했다..
아루카드,인간이 고기를 먹는 행위에 희생된 생명의 감사함을 생각하면 그걸로 충분함 더 논란될것도 없이
지국노조,뻑가님 20대 술취한여성이 40대가장을 가족들 심지어 어린아이들이보는 앞에서 10분동안 때렸답니다. 가장은 혹시나 대응하다 성추행으로 몰릴수도있겠다 싶어서 무방비로 맞았다는데. 이사건에대해 여초에서 뭐라고하는지 궁금합니다
배고프다,저거 기획한 사람은 대단하긴 하네
Zombien'me,여하튼 어느 쪽보고 뭐라고 비판할 거 없이 그 사람이 그런 감정을 느꼈다면 아 그렇구나 하고 끝내는 게 정신건강에 이로운 거 같다.
안응칠,100일동안 키우면 정들어서라도 못먹겠다ㅠㅠ
NoNingen,좋은 콘텐츠라고 생각합니다. 왜냐면 사람들이 평상시에 아무 생각없이 먹는 고기에 대해서 먹기전에 한번 더 생각해보고 감사하는 마음과 미안한 마음을 가질 수 있도록 유도했다고 봅니다. 한마디로 불편한 진실의 폭로인 거죠.
차민형,충격요법으로 만든거면 개성공
Molonlabe,옆나라 100만렉카한테 소개될 정도면 유투버로서 굉장히 성공했다
김동욱,이런 불편한 느낌을 유도한 것이라면 대성공이네. 진짜 대단하다
보려고만든짤,약육강식 세계관 선민의식 가득한 사람들이 만든 또다른 유튜브 유니버스
PhantomGold,"""어짜피 고기가 될 운명이니까, 괜히 이름 짓고 특별하게 대하면 나중에 힘들어져."" 아라카와 히로무(서현아 역) 『은수저 silver spoon 1권(쇼가쿠칸, 학산문학사)』 158p"
EMIUPNO,요 영상 마지막까지 잘보다가 마지막에 족발사진ㅋㅋㅋㅋ
