Id,comment
리스너,파이나락가는속도👇👇
blackH2,아직도 욕먹는 파이인생 레전드
문준수,댓글 안막으신거에 존경 멘탈이 대단하시네요
김민수,전기 매드무비 정주행하고 왔습니다아직 살아계신거보니 멘탈이 아주 쌔십니다
히오스성애자,나락 밑바닥 불지옥까지 달리기를 바랍시다나-락
인생존망탈출기,전기 반지하 탈출확률👇
forka,"크흠,, 잘나오고있나? 어어 그래 BJ파이갤러리야 사진 잘찍어주고있지? 쓰읍. 그럼 그 3.14 매니저라는사람들한테 잘 전달되길 기원하며자 파이님, 목매단채 발견됐으면 좋겠네요."
석류,최고급 세탁기 있는데 민심 떡상 ㄹㅇㅋㅋ
지노빈,이집은 여전히 댓글맛집이네;; 임팩드가 쎄긴했나보다
hyunyimm,인트로 개웃기네ㅋㅋ자기에게 다가올 미래를 모르고저 표정이라니~
군산물주먹,전기 떡상 속도⬇️⬇️⬇️
박인성,파이 화이팅! (정상수 톤으로)
미안.나도여친은있다.,ㅋㅋㅋㅋㅋㅋㅋ게임지고 우승 상금 처받은 레전드
jeonrahyosu,세탁기를 돌려줘도 더러운게 좋다는 파이 ㅋㅋ
냠생놈,"오므라이스 준비물=( 밥, 계란, 햄, 양파, 단무지, 감자, 당근( 이중에 자기 취향에) 1. 들어갈 재료(햄, 양파, 단무지, 감자, 당근) 을 잘게 썬다2. 후라이팬에 밥을 넣어서 볶는담( 기름을 넣어서 ( 적게)3. 밥을 볶을것에다 재료을 넣어서 다시볶는다4. 그리고 볶음 밥을 다른 접시에다가 덜어 놓는다( 예쁘게)5. 볶음밥을 볶은 후라이팬에 계란을 푼것을 부어서 부친다6.부친 계란을 볶음밥위에 올린다( 느끼할수도 있으니깐 케찹을 뿌려 먹는다!"
평범한댓글러,파이 나락 속도⬇⬇⬇⬇
타락한행성외계인김찬호,악인전 존버 ㅋㅋㅋ
음지시청자,진자 19만 위로 못 가게 막는것도 대단하다
의대왕논리,사람들 스트레스 쌓일때마다 여기에 풀어버리는거 아니냐 ㅋㅋㅋ
채하라,날씨가 너무 덥네요.. 몸 관리 잘하고 20만... 하... 18만 되어 있네.. 출석
banana,구독취소하고 싶은데 구독을 안해서 취소를 못한다👇
93년생예쁜말만하는남자,경찰이 파이편을 든다면 그 경찰은 무능력한 빡대가리 경찰이다
준영,부제:파이의 나락 일기
파이.D,파이님이 너무 좋아요 ㅎㅎ그래서 파이님이 여러 조각이 되셨으면 좋겠어요!
정발,여캠 화장조명이 크긴하구나
두둠칫둔두루누,"지담,파이가 욕먹는 이유 ""나는 여자니까 어짜피 못건드려""라는 마인드로 사람 바닥까지 깔보면서 상대방 인내심 테스트함 ㅋㅋㅋㅋㅋㅋㅋ"
키보드워리어,여성가족부는 당신을 지지합니다
채하라,오랜만 출석~ 20만 빨리 보고싶다.
꧁시나몬꧂,파이 실드 쳐주는 건 부계인가
나만보기,ㅋㅋㅋㅋㅋ;;;여기 물소들 많네 여기서 쉴드친거 파이한테 인증해주면 파이가 성접대해주나..?그래서 물소들이 열심히 짖는거 같음 ㅇㅇ
공감되면개추,파이 나락가는 속도👇👇👇👇
오늘의하이라이트,ㅁㅊ 아직도 실시간이넼ㅋㅋㅋㅋ
블랙이,파이야 파이야! 부모님은 괜찮아? 하지만 넌 안괜찮을 거야!
이스아이,ㅋㅋㅋㅋ사람들 화력이 무섭긴 무섭네 아직도 ㅋㅋㅋㅋㅋ
장재원,아무리 힘들어도 돌아오면 안돼요!!
또까깐대,오늘 파이가 전기한테 구독자 추월당하는거 보고싶은사람14:26 잡았다ㅋㅋㅋㅋㅋㅋㅋㅋ👇
이규진,"""이거는 말로 표현이 안될정도로 역겹다"""
"그,,,없으신가..?",하...졸리다...언제자지...음...내일은..미드사일해봐야지....아..내일 5시 학원...알람맞춰놓고자자....음....8시쯤으로 맞추고....클라나드 보고 자야지...
뺙,와 오랜만에 와봤는데 댓글창 아직도 안닫았네...ㅋㅋㅋ 멘탈이 센 건지 오기가 센 건지
김강유,자 20만 드가자 ~
