Id,comment
발스타홍구,2부좌표 : https://youtu.be/Mp2ay1VjkyQ
술덕후,짜피 사기맵만들거면 시작부터 미네랄 십만씩 갖고 시작하게 만들면 안되나.. ? 그거까진 유즈맵세팅으로 해야되는건가...?
BrandonPark,스타 할줄도 모르는데 홍구님 영상은 매번 찾아보게 돼요. 편집자님도 너무 재밌게 영상 만들어주셔서 맨날 봐요 진짜 !!
김종원,이 편집자님 덕분에 스타 잘 모르는 사람도 재밌게 보는듯ㅎㅎ 항상 감사합니다ㅎㅎ
Architecte,와ㅠㅠ 올라왔다ㅠㅠ 진짜 유일하게 지난 영상까지 모두 다 빠짐없이 찾아봤어요ㅋㅋㅋ홍구 스타 너무 재밌음
디킴DKIM,나도 프로게이머를 꿈 꾼 적 있다 홍구를 본 적 있다 늘 방송을 보며 형이라고 느껴왔다. 그렇게 동갑이었다.이런 스토리 컨텐츠 너무 좋아 레츠고!
자보TV내채널들어오지마십시요ꪜ,와 편집 퀄리티 너무 좋다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
HOONK,하루 쉬고 올라간 편집 퀄리티 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
로박사,하나의 컨텐츠로 제대로 자리잡은것 같아서 팬으로서 뿌듯합니다^^ 오프닝 마음에 드네용
이현우,"""이틀만에 먹는 점심"""
위니디볼에페옥시,요즘 헬스 싸이클타면서 이거보면 시간 진짜 잘간다 자주 올려줘랑 홍구
호아파참HoAPaCharm,사기맵 정도 되니 또다른 볼맛나는 게임이 되네여ㅋㅋ
Deemo와소녀,4:20 ㅋㅋㅋㅋㅋ 울트라 저렇게 꼴아박기가 쉽지 않은데...
칫솔,와 사기맵이 진짜 사기긴하네 프로가 저렇게 까지해야 이기는구나 ㄷㄷ
분노,나날이 발전하는 유튜브 채널 ㄷㄷ
옆집범고래-Nei_Orca,쉬고 오라니까 더 노력해서 퀄뽑았네 ㄷㄷ
최정섭,요즘 제일 재밌는 컨텐츠.. 늘 잘보고 있어요.. 힐링영상..ㅎㅎㅎㅎ
model3T,사기맵 검거할때 내가 다 짜릿함ㅋㅋㅋㅋㅋ
이영,05:40 근대 와 되 와 아주그냥 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오덕질로입덕하자,홍검사 컨셉 너무 좋아~~
